Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,EBIDT last year,High price all time,DMA 200,Down from 52w high,Debt,Promoter holding,Profit after tax latest quarter,YOY Quarterly profit growth,Profit after tax preceding year quarter,Profit after tax preceding quarter,QoQ Profits,Expected quarterly net profit,Net profit 2quarters back,Net profit 3quarters back,Pledged percentage,Price to Earning,Expected quarterly sales,Expected quarterly sales growth,Sales,Sales growth,YOY Quarterly sales growth,Net Profit latest quarter,Profit after tax,Return on capital employed,Return on equity,Profit growth,NPM latest quarter,Mkt Cap To Debt Cap,Cash from operations last year,Cash from operations preceding year,DMA 200 previous day,Expected quarterly operating profit,Expected quarterly EPS,RSI,Cash end of preceding year,CROIC,Cash end of last year,Reserves,Investments,Current assets,EVEBITDA,Price to book value,Sales latest quarter,Number of Shareholders,Number of Shareholders preceding quarter,Number of Shareholders 1year back,FII holding,DII holding,Public holding,Cash Equivalents
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,223.63,789.11,128.01,348.00,192.82,6.18,156.00,45.04,17.78,5.33,16.88,17.72,0.85,22.46,14.87,17.36,0.00,11.60,240.07,4.03,951.38,2.36,-0.99,17.74,68.03,17.31,14.54,9.01,7.25,1.09,103.59,31.79,192.51,31.72,6.36,72.69,38.25,3.74,81.89,465.98,18.75,416.96,6.66,1.63,244.72,39233.00,38301.00,36781.00,0.41,0.07,54.49,81.89
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1197.20,48793.62,2822.12,1318.00,1105.99,3.15,15931.31,6.20,330.53,16.11,284.67,288.74,14.47,535.81,327.28,315.48,0.00,38.66,1511.19,37.62,4621.10,36.82,34.52,330.53,1262.03,12.12,14.39,19.48,26.96,-3.12,-2921.06,-2462.17,1105.07,945.11,13.15,58.68,1091.58,-9.24,1481.59,9794.94,8842.44,3261.14,21.03,4.94,1226.09,76687.00,74294.00,68603.00,58.55,18.70,16.53,1481.59
3B Blackbio,532067,3BBLACKBIO,INE994E01018,Healthcare Services,Healthcare Service Provider,1306.30,1121.15,82.34,2350.00,1308.60,25.35,3.11,40.95,9.53,-24.31,12.59,9.56,-8.46,16.28,22.44,15.04,0.00,20.19,55.01,62.28,153.17,54.30,50.65,8.98,55.53,25.48,19.77,13.23,26.81,2.49,52.48,43.36,1308.63,18.83,18.97,63.22,68.83,10.55,100.62,315.81,157.70,192.66,12.66,3.46,33.49,11049.00,10616.00,10619.00,2.50,2.15,54.40,100.62
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,33570.00,37833.39,1033.73,41000.00,33472.48,12.35,169.75,75.00,176.95,-0.42,177.69,185.37,8.23,250.13,-62.05,191.34,0.00,85.81,1478.10,16.71,5316.99,15.71,19.00,233.07,440.89,50.01,29.98,-11.22,12.43,6.67,513.72,355.11,33471.50,273.40,222.04,37.18,937.38,23.51,817.78,1756.88,0.00,2542.38,36.19,21.39,1423.21,30673.00,29808.00,34588.00,3.50,8.16,13.33,817.78
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,376.40,1764.65,101.07,765.54,349.12,9.73,378.56,36.50,11.57,0.17,11.55,10.86,6.54,14.50,12.30,9.48,0.00,39.92,83.56,8.29,330.20,-1.44,13.70,11.57,44.21,9.94,7.04,-25.95,13.10,-3.31,-103.71,97.94,348.85,25.25,3.09,50.55,1336.61,-4.70,1417.71,617.97,2.18,1539.54,7.12,2.72,88.33,50145.00,52243.00,56884.00,15.11,0.00,48.38,1417.71
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,777.55,3582.84,-98.81,3048.00,717.76,22.84,2.85,45.63,-39.68,-203.60,-13.07,-54.65,-289.18,,-31.73,-44.70,0.00,,,541.89,318.30,384.84,350.44,-47.56,-143.00,-3.71,-1.60,-76.91,-34.67,-3.41,-292.97,-142.78,717.16,,,47.97,1925.25,-4.21,1676.78,3542.62,583.27,2322.90,-13.17,1.01,137.16,44996.00,45869.00,46045.00,1.61,0.00,52.75,1676.78
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7609.00,161241.08,2397.26,9200.00,6603.38,3.98,144.52,75.00,370.07,8.03,342.55,341.91,-79.69,469.04,432.85,409.04,0.00,104.62,3712.31,12.13,13476.81,10.22,21.03,362.30,1541.25,29.93,22.39,-13.03,10.40,12.18,1219.52,1331.80,6593.28,516.29,22.14,55.99,5507.82,14.47,5834.87,9297.10,1.56,13764.99,68.90,17.26,3558.87,183577.00,181528.00,182397.00,7.67,9.89,7.44,7335.52
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,11.95,763.35,41.41,23.56,13.84,49.28,88.25,30.94,5.34,3.09,5.18,5.94,-10.55,2.06,6.12,2.13,0.00,39.13,42.96,15.17,271.89,6.80,25.91,5.34,19.51,16.06,13.84,-8.15,7.00,-5.74,-51.17,-23.59,13.86,6.16,0.03,55.73,33.47,-17.71,32.01,105.41,0.00,277.89,19.14,4.51,76.25,16192.00,11173.00,3068.00,0.00,0.01,69.02,32.01
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,86.04,10501.37,1444.28,176.10,107.39,43.14,3018.10,46.60,29.02,20.62,24.06,60.50,-46.77,52.66,69.01,23.44,0.00,49.19,2248.61,10.34,8600.97,9.07,11.15,29.02,213.47,15.02,14.87,31.53,1.42,,1218.81,1144.17,107.60,352.99,0.43,30.93,53.65,,91.51,191.66,16.34,4565.34,9.14,7.44,2045.74,262354.00,266973.00,297575.00,12.70,20.80,19.42,91.51
A B Real Estate,500040,ABREL,INE055A01016,Realty,"Residential, Commercial Projects",1392.30,15551.39,-340.56,3141.95,1462.61,29.49,5636.49,50.21,-70.92,-59.41,-44.49,-102.21,-741.74,-110.55,-75.31,-17.82,0.00,,87.69,-10.38,450.47,-55.45,29.74,-34.59,-319.61,-4.48,-2.64,-249.75,-35.46,-9.69,747.23,-1293.44,1463.32,-68.87,-9.90,48.30,1000.62,-4.55,1398.76,3589.13,1511.65,13627.49,-60.03,4.20,188.85,95594.00,96982.00,105295.00,9.26,16.63,23.14,1398.76
A C J K Exports,544743,AEROPLANE,INE05TO01019,Agricultural Food & other Products,Other Agricultural Products,174.99,1812.05,229.75,210.00,166.09,16.67,758.09,78.78,36.63,127.52,16.10,19.96,83.52,,34.69,32.56,0.00,14.63,,,2522.92,14.51,55.10,36.63,123.84,15.70,15.85,72.25,5.52,9.84,-166.37,94.96,166.00,,,44.16,19.55,-1.94,256.19,820.58,0.77,2028.13,9.32,,663.73,43063.00,106988.00,,1.89,5.44,12.98,256.19
A.K.Capital Serv,530499,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1717.60,1133.62,400.66,1950.00,1572.86,11.92,3089.18,72.24,27.19,17.71,23.10,32.10,-14.88,58.84,26.03,30.91,0.00,9.90,172.46,11.92,577.13,15.22,3.92,28.26,114.45,9.33,10.95,34.44,20.23,-1.16,-257.66,-261.16,1571.41,120.79,85.77,45.73,32.17,-2.59,63.27,1039.81,3182.91,142.48,10.21,1.08,139.72,2825.00,2946.00,2619.00,0.00,0.11,27.65,63.27
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,470.35,20588.98,2818.86,563.00,487.03,16.46,18743.78,64.66,282.36,19.00,237.28,310.92,-9.19,420.21,281.21,266.47,0.00,17.85,1055.67,17.67,3817.29,17.72,17.06,282.36,1153.40,11.38,15.94,21.54,28.44,-0.79,-2807.88,-3026.65,487.20,803.04,9.60,37.32,1723.38,-11.48,1214.68,7105.19,637.46,1784.06,13.04,2.72,992.89,162826.00,184772.00,202739.00,5.80,9.92,19.61,1214.68
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,418.00,3815.09,311.58,1026.95,401.90,21.80,576.64,54.43,51.68,-4.14,53.91,55.19,-9.28,65.67,40.55,45.16,2.50,19.80,732.18,12.16,2677.58,10.54,19.01,50.13,192.69,11.90,13.36,2.04,7.35,1.44,253.54,244.58,401.74,94.36,7.19,52.81,7.56,4.55,8.81,1457.59,27.31,1467.77,13.04,2.46,702.78,143476.00,144946.00,160260.00,1.52,10.29,33.76,8.81
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,542.95,19694.25,1172.00,1060.84,458.13,1.59,4966.00,41.82,153.28,256.47,43.00,137.00,13.14,160.25,133.00,106.00,3.49,37.71,2717.30,29.40,9010.00,26.99,42.51,155.00,522.28,6.85,7.13,122.25,6.42,1.56,775.00,1241.94,457.28,403.84,4.42,66.01,294.97,-1.90,609.00,5774.00,132.00,4187.00,17.94,3.31,2387.00,370868.00,384210.00,425399.00,7.00,21.11,30.08,609.00
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,836.65,7586.73,386.95,971.50,730.53,11.60,754.36,42.86,76.14,53.82,49.50,61.12,24.57,59.83,47.96,27.92,11.08,35.24,473.54,13.20,1969.04,1.20,38.74,76.14,215.27,10.70,8.59,-19.21,14.21,2.99,261.93,331.56,729.47,102.06,6.60,61.16,8.65,-3.55,9.62,2079.28,193.85,1397.29,18.45,3.57,535.80,176506.00,179373.00,187039.00,8.17,7.22,41.74,9.62
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1285.80,10195.66,1978.39,3340.00,1433.64,27.56,15685.57,48.88,171.27,23.01,139.23,181.67,-5.72,252.69,170.05,163.93,0.00,14.84,753.54,12.97,2764.62,13.32,12.93,171.27,686.92,9.92,13.92,16.97,24.17,-0.50,-1386.42,-1660.13,1435.13,557.76,31.87,30.44,1559.63,-8.78,1843.30,4971.56,270.81,2368.93,11.77,2.02,708.72,113498.00,117980.00,121862.00,16.28,22.15,12.69,1843.30
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1275.75,1953.45,10.77,1275.75,1119.00,0.00,0.00,24.63,7.53,382.69,1.56,0.37,1935.14,,,,0.00,247.59,,,216.35,193.28,257.34,7.53,7.89,18.86,13.88,335.91,4.47,-20.83,-0.07,-40.43,1117.43,,,88.88,0.77,-23.68,0.68,45.47,0.00,125.12,181.32,32.14,168.63,299.00,249.00,177.00,0.00,0.00,75.38,0.68
Abans Financial,543712,AFSL,INE00ZE01026,Finance,Holding Company,201.00,1021.88,163.94,625.00,206.48,16.60,753.73,71.11,61.95,106.84,29.95,-3.87,1884.55,,34.31,41.85,0.00,7.96,,527.96,25747.33,427.79,96.05,65.85,128.33,7.90,8.29,17.06,1.77,0.66,505.18,-118.76,206.54,,,45.67,318.54,6.71,608.10,1239.85,1314.09,1544.42,5.54,0.81,3712.76,14110.00,14635.00,16215.00,20.71,0.00,8.18,608.10
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,26555.00,56429.38,2176.08,37000.00,27517.75,18.98,171.99,74.99,428.52,17.13,365.86,394.93,8.51,500.45,375.96,415.27,0.00,34.95,1858.87,5.79,7004.38,6.29,4.33,428.52,1614.68,44.80,34.35,11.18,23.63,4.19,1319.24,1011.84,27527.43,527.86,235.51,40.83,1626.20,24.40,2254.95,4752.94,0.00,3770.69,24.05,11.82,1813.68,78320.00,75866.00,67584.00,0.38,8.77,15.85,2254.95
